Area,BHK,Bathroom,Parking,Price,Per_Sqft,Furnishing_Semi-Furnished,Furnishing_Unfurnished,Locality_Budh Vihar,Locality_Chhattarpur,Locality_Chittaranjan Park,Locality_Commonwealth Games Village,Locality_Dilshad Garden,Locality_Dwarka,Locality_Geeta Colony,Locality_Greater Kailash,Locality_Hauz Khas,Locality_Kalkaji,Locality_Karol Bagh,Locality_Kirti Nagar,Locality_Lajpat Nagar,Locality_Laxmi Nagar,Locality_Mahavir,Locality_Malviya Nagar,Locality_Mehrauli,Locality_Narela,Locality_New Friends Colony,Locality_Okhla,Locality_Paschim Vihar,Locality_Patel Nagar,Locality_Punjabi Bagh,Locality_Rohini,Locality_Safdarjung,Locality_Saket,Locality_Sarita Vihar,Locality_Shahdara,Locality_Sheikh Sarai,Locality_Sultanpur,Locality_Uttam Nagar,Locality_Vasant Kunj,Locality_Vasundhara,Status_Ready_to_move,Transaction_Resale,Type_Builder_Floor
800.0,3,2.0,1.0,6500000,12500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
750.0,2,2.0,1.0,5000000,6667.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
950.0,2,2.0,1.0,15500000,6667.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
600.0,2,2.0,1.0,4200000,6667.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
650.0,2,2.0,1.0,6200000,6667.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1300.0,4,3.0,1.0,15500000,6667.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1350.0,4,3.0,1.0,10000000,6667.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
650.0,2,2.0,1.0,4000000,6154.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
985.0,3,3.0,1.0,6800000,6154.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1300.0,4,4.0,1.0,15000000,6154.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1100.0,3,2.0,1.0,6200000,6154.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
